State,District,Block,Village,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,WQI,Water Quality Classification
Gujarat,Ahmedabad,Mandal,Dalod,8.2,16640,40.37,1257,5176,822,26,1451,152,260,3535,45,1,11149,4361.44,Unsuitable for Drinking
Himachal Pradesh,Solan,Nallagarh,JAGATPUR,8.44,299,43,87,21,70.92,2.7,84,17,10,39,2.4,0.2,262,85.8,Good
Maharashtra,Ahmednagar,SANGAMNER,Kokangaon,7.9,1315,40.37,518.7,120.5,61.6,18.2,465,80.2,64.4,88.3,1.6,0.53,372,280.04,Very Poor yet Drinkable
Gujarat,Ahmedabad,Viramgam,Endla,7.4,715,40.37,354,50,18,0.23,280,56,34,47,11,0.46,479,195.12,Poor
Himachal Pradesh,Solan,Nallagarh,BARUNA,8.4,270,43,87,14,70.92,10,116,10,18,23,1,0.12,262,81.78,Good
Maharashtra,Ahmednagar,NEVASA,Vadala Bhairoba,7.55,1513,40.37,292.9,191.4,187.4,63.7,510,116.2,53.5,96.4,7.2,0.18,820,376.42,Unsuitable for Drinking
Gujarat,Ahmedabad,Dhandhuka,Dhandhuka1,8.2,7328,40.37,1135,1546,494,220,681,72,122,1384,44,5,4910,1944.8,Unsuitable for Drinking
Himachal Pradesh,Solan,Nallagarh,BHATOLI,8.4,318,43,87,21,70.92,13,116,10,18,28,2.5,0.15,262,88.65,Good
Maharashtra,Ahmednagar,SHEVGAON,Ghotan,7.36,6611,40.37,756.6,1201.8,824.4,200.4,1900,348.7,250.3,380.4,450,0.11,726,1221.74,Unsuitable for Drinking
Gujarat,Ahmedabad,Dhandhuka,Tagadi1,8.1,2960,40.37,427,269,798,43,550,132,54,437,24,0.8,1983,812.66,Unsuitable for Drinking
Maharashtra,Ahmednagar,SANGAMNER,Bote,7.97,1276,40.37,305.1,102.8,79.5,200.1,425,76.2,57.1,87.7,2.1,0.31,447,294.01,Very Poor yet Drinkable
Gujarat,Ahmedabad,Barwala,Barvala,8.2,7338,40.37,1293,1198,1002,33,380,32,73,1550,0.27,3.8,4916,1963.93,Unsuitable for Drinking
Maharashtra,Ahmednagar,AKOLA,Rajur,7.85,638.4,40.37,323.4,24.8,18.4,11.1,290,50.1,40.1,15.7,0.3,0.2,432,173.97,Poor
Gujarat,Ahmedabad,Barwala,Lonjdhara,8.2,1264,40.37,500,142,30,49,170,20,29,225,0.51,2.4,847,346.57,Unsuitable for Drinking
Himachal Pradesh,Kangra,Nurpur,JASSUR,8.45,330,24,122,21,70.92,21,140,24,19,23,1.99,0.16,262,94.69,Good
Maharashtra,Ahmednagar,SANGAMNER,Sangamner,8.14,1810,40.37,445.4,198.5,124.6,197,460,80.2,63.2,202.8,5,0.69,539,400.09,Unsuitable for Drinking
Gujarat,Ahmedabad,Ranpur,Rajpada,8.1,708,40.37,293,57,30,37,240,40.08,34,70,0.31,0.73,474,195.45,Poor
Maharashtra,Ahmednagar,SANGAMNER,Ambikhalsa,8.02,950.8,40.37,378.3,60.3,53.1,38.8,250,50.1,30.4,104.6,0.8,0.54,1059,319.7,Unsuitable for Drinking
Gujarat,Ahmedabad,Ranpur,Kundali,8.2,735,40.37,403,35,17,11,310,44,49,45,0.26,0.37,492,202.73,Very Poor yet Drinkable
Maharashtra,Ahmednagar,KOPARGAON,Rahata,7.63,3930,40.37,439.3,904,160.1,200.3,1025,210.4,121.5,440.4,1.6,0.45,600,737.5,Unsuitable for Drinking
Gujarat,Amreli,Lilia,Punjapadar,7.1,436,40.37,183,35,38,0.39,80,24,4.9,68,4.2,0.51,292,120.95,Poor
Maharashtra,Ahmednagar,NAGAR,Dehre,8.08,516.5,40.37,207.5,49.6,16.3,3.4,190,60.1,9.7,27.6,1.1,0.24,634,180.23,Poor
Gujarat,Amreli,Lathi,Lathi,8.2,1055,40.37,390,149,41,12,220,36,32,157,0.23,0.5,707,286.91,Very Poor yet Drinkable
Maharashtra,Ahmednagar,NAGAR,Jakhangaon,7.76,3735,40.37,360,397,890.1,80,1230,210.4,171.3,297.1,6.1,0.59,516,710.93,Unsuitable for Drinking
Gujarat,Amreli,Lathi,Tajpur,7.9,444,40.37,220,28,19,5.5,160,40,15,37,1.94,0.4,297,123.16,Poor
Maharashtra,Ahmednagar,SHRIRAMPUR,Babhuleshwar,8.11,868.7,40.37,366.1,53.2,46.6,13.1,280,60.1,31.6,72.7,0.4,0.6,517,225.55,Very Poor yet Drinkable
Gujarat,Amreli,Lathi,Chavand,8.1,607,40.37,305,35,23,5.2,210,40,27,58,0.9,0.4,407,167.3,Poor
Himachal Pradesh,Kangra,Dehra gopipur,BHAROLI,8.32,630,12,159,83,10,32,180,36,22,57,1.9,0.15,262,142.79,Poor
Maharashtra,Ahmednagar,PARNER,Supe,7.78,2007,40.37,421,244.6,141.1,198.4,470,80.2,65.6,223,9.6,1.25,907,480.52,Unsuitable for Drinking
Gujarat,Amreli,Babra,Untvad,8,1215,40.37,244,156,57,174,510,128,46,63,0.38,0.42,814,333.73,Unsuitable for Drinking
Himachal Pradesh,Kangra,Nurpur,MAO,8.4,312,12,171,21,70.92,1.6,130,40,7.3,28,1,0.17,262,94.88,Good
Maharashtra,Ahmednagar,NAGAR,Dahigaon,7.56,4286,40.37,366.1,524.7,924.1,200.2,1000,200.4,121.5,335.5,330.3,0.45,776,861.74,Unsuitable for Drinking
Gujarat,Amreli,Babra,Kotadapitha,8.1,385,40.37,183,28,16,4.8,140,24,19,30,1.94,0.4,258,106.07,Poor
Himachal Pradesh,Kangra,Indora,ANDAURA,8.5,400,48,171,21,5,7.7,140,28,17,55,2.3,0.25,262,107.56,Poor
Maharashtra,Ahmednagar,SHEVGAON,Rakshi,8.12,784.2,40.37,292.9,56.7,63.5,16.7,280,60.1,31.6,44.3,6.4,0.56,842,257.52,Very Poor yet Drinkable
Gujarat,Amreli,Bagasara,Kunkavav,7.8,1306,40.37,305,199,101,68,370,60,54,143,0.71,0.22,875,352.45,Unsuitable for Drinking
Himachal Pradesh,Kangra,Indora,BAROTA,8.32,415,12,171,28,70.92,36,150,32,17,26,19,0.1,262,112.85,Poor
Maharashtra,Ahmednagar,RAHURI,Devlali,7.91,1940,40.37,482.1,237.5,160,80.3,455,56.1,76.5,219.5,11.4,0.52,791,445.03,Unsuitable for Drinking
Gujarat,Amreli,Bagasara,Vaghania juna,8,1296,40.37,598,106,41,35,230,28,39,220,8.05,1.1,868,358.64,Unsuitable for Drinking
Himachal Pradesh,Kangra,Rakkar,HARDOGRI,8.3,385,24,159,35,70.92,3.3,150,44,9.7,32,1.5,0.15,262,104.16,Poor
Maharashtra,Ahmednagar,RAHURI,Malharwadi,7.82,739.9,40.37,244.1,78,45.7,13.7,240,40.1,34,58.8,2.4,0.69,655,220.44,Very Poor yet Drinkable
Gujarat,Amreli,Bagasara,Bagasara,7.8,3589,40.37,403,780,260,230,1101,132,187,357,0.39,0.46,2405,951.02,Unsuitable for Drinking
Maharashtra,Ahmednagar,RAHURI,Bambori,8.02,492.7,40.37,183.1,39,38.2,9.1,190,34.1,25.5,28.2,0.6,0.32,547,164.31,Poor
Gujarat,Amreli,Amreli,Amreli,7.4,1280,40.37,317,199,96,50,410,100,39,112,1.3,0.14,858,345.02,Unsuitable for Drinking
Himachal Pradesh,Kangra,Indora,DARKATI,8.35,345,12,146,27,70.92,24,120,24,15,28,14,0.12,262,100.24,Poor
Maharashtra,Ahmednagar,NEVASA,Sonai,7.89,675,40.37,286.8,42.5,30.9,9.7,245,50.1,29.2,36.6,1.1,0.29,451,181.36,Poor
Gujarat,Amreli,Amreli,Govadka,7.6,507,40.37,195,50,26,18,160,32,19,50,9.5,0.29,340,139.6,Poor
Himachal Pradesh,Kangra,Kangra,OLD KANGRA,8.47,362,48,110,13,12,16,160,40,15,25,1.5,0.14,262,98.13,Good
Maharashtra,Ahmednagar,NEVASA,Shirasgaon,7.99,924.2,40.37,244.1,109.9,105.6,8.6,280,60.1,31.6,79.4,4,0.26,435,221.07,Very Poor yet Drinkable
Gujarat,Amreli,Amreli,Vankiya,7.9,725,40.37,342,57,28,13,90,16,12,136,0.67,0.69,486,201.41,Very Poor yet Drinkable
Maharashtra,Ahmednagar,JAMKHED,Jamkhed,7.96,2296,40.37,622.4,315.5,160.1,46.2,860,136.3,126.4,116.5,8.2,0.49,415,445.73,Unsuitable for Drinking
Gujarat,Amreli,Dhari,Chalala,8.2,580,40.37,220,71,32,8.8,200,36,27,52,0.99,0.22,389,158.4,Poor
Maharashtra,Ahmednagar,SANGAMNER,Chandanapuri,7.77,1049,40.37,274.6,127.6,54,67,335,64.1,42.5,77.9,1.1,0.31,223,211.97,Very Poor yet Drinkable
Gujarat,Amreli,Dhari,Morjhar,7.8,833,40.37,293,121,30,22,330,60,44,61,0.3,0.18,558,225.94,Very Poor yet Drinkable
